Columna,Estaticos,Desaceledaro,Esperanza Futura,Emergentes,Grandes Creciendo
Censo_porc_pob_mujeres_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_00_04_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_05_09_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_10_14_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_15_19_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_20_24_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_25_29_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_30_34_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_35_39_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_40_44_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_45_49_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_50_54_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_55_59_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_60_64_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_65_69_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_70_74_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_75_79_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_mujeres_80_mas_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_negra_mulata_afrocolombiana_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Censo_porc_pob_palenquero_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Censo_porc_pob_raizal_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Censo_porc_pob_rom_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Censo_porc_pob_rural_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Censo_porc_pob_urbana_Efecto,Positivo - Medio,Negativo - Indeterminado,Positivo - Medio,Positivo - Medio,Negativo - Indeterminado
Censo_proyeccion_pob_0_4_Efecto,No significativo,No significativo,Negativo - Bajo,Positivo - Bajo,No significativo
Censo_proyeccion_pob_10_14_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Censo_proyeccion_pob_5_9_Efecto,No significativo,No significativo,Negativo - Bajo,Positivo - Muy Bajo,No significativo
departamento_GestComp_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
departamento_MDD_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
departamento_ResComp_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Desp_General_densidad_poblacional_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Desp_General_extension_Efecto,Positivo - Medio,Negativo - Muy Alto,No significativo,Positivo - Alto,Negativo - Indeterminado
Desp_General_poblacion_total_Efecto,Negativo - Muy Bajo,Positivo - Medio,Negativo - Bajo,No significativo,Positivo - Alto
Desp_General_variacion_intercensal_2005_2018_Efecto,Negativo - Indeterminado,No significativo,No significativo,No significativo,Positivo - Indeterminado
Desempeno_Acceso_servicios_publicos_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Componente_gestion_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Componente_gestion_Posicion_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Medio,Negativo - Indeterminado
Desempeno_Componente_resultados_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Componente_resultados_Posicion_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Desempeno_Educacion_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Ejecucion_recursos_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Gobierno_abierto_transparencia_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Grupo_capacidades_iniciales_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Desempeno_MDM_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_MDM_Posicion_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Medio,Negativo - Indeterminado
Desempeno_Movilizacion_recursos_Efecto,No significativo,Negativo - Indeterminado,Positivo - Medio,No significativo,Negativo - Indeterminado
Desempeno_Posicion_nacional_gestion_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Posicion_nacional_indicador_final_MDM_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Posicion_nacional_resultados_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_MDM_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_componente_gestion_departamento_nacion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Desempeno_Promedio_componente_resultados_departamento_nacion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Desempeno_Promedio_educacion_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_ejecucion_recursos_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_gestion_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_gobierno_abierto_transparencia_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_indicador_MDM_departamento_nacion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Desempeno_Promedio_movilizacion_recursos_grupo_DI_Efecto,Positivo - Medio,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_recaudo_OT_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_resultados_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_salud_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_seguridad_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Promedio_servicios_publicos_grupo_DI_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Recaudo_instrumentos_ordenamiento_territorial_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Salud_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Desempeno_Seguridad_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_2do_cultivo_permanente_ton_prod_Efecto,No significativo,No significativo,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_2do_cultivo_transitorio_ton_prod_Efecto,Positivo - Alto,No significativo,No significativo,No significativo,Negativo - Indeterminado
Economia_3er_cultivo_permanente_ton_prod_Efecto,No significativo,No significativo,Positivo - Muy Alto,Positivo - Medio,Negativo - Indeterminado
Economia_3er_cultivo_transitorio_ton_prod_Efecto,Positivo - Muy Alto,No significativo,No significativo,No significativo,Negativo - Indeterminado
Economia_PIB_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_actividades_artisticas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_actividades_financieras_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_actividades_inmobiliarias_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_actividades_profesionales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_actividades_sociales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_administracion_publica_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_agricultura_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_agricultura_ganaderia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_comercio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_construccion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_actividades_artisticas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_actividades_financieras_seguros_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_actividades_inmobiliarias_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_actividades_profesionales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_administracion_publica_defensa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_agricultura_ganaderia_caza_pesca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_comercio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_construccion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_demas_cultivos_permanentes_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Economia_PIB_dept_demas_cultivos_transitorios_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_PIB_dept_electricidad_gas_saneamiento_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_explotacion_minas_cant_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_impuestos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_industrias_manufactureras_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_informacion_comunicaciones_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_nacional_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_dept_primer_cultivo_permanente_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_PIB_dept_primer_cultivo_transitorio_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_PIB_dept_segundo_cultivo_permanente_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_PIB_dept_segundo_cultivo_transitorio_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Medio,Negativo - Indeterminado
Economia_PIB_dept_tercer_cultivo_permanente_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Economia_PIB_dept_tercer_cultivo_transitorio_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Medio,No significativo,Negativo - Indeterminado
Economia_PIB_electricidad_gas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_establecimientos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_explotacion_minas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_impuestos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_industria_manufacturera_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_industrias_manufactureras_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_informacion_comunicaciones_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_municipal_actividades_primarias_Efecto,Positivo - Medio,No significativo,No significativo,No significativo,Negativo - Indeterminado
Economia_PIB_municipal_actividades_secundarias_Efecto,No significativo,Positivo - Indeterminado,Negativo - Medio,No significativo,Positivo - Indeterminado
Economia_PIB_municipal_actividades_terciarias_Efecto,No significativo,No significativo,No significativo,No significativo,Positivo - Alto
Economia_PIB_municipal_valor_agregado_dept_Efecto,No significativo,No significativo,No significativo,No significativo,Positivo - Medio
Economia_PIB_pct_actividades_artisticas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_actividades_financieras_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_actividades_inmobiliarias_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_actividades_profesionales_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_administracion_publica_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_agricultura_ganaderia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_comercio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_construccion_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_contribucion_nacional_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_electricidad_gas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_explotacion_minas_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_impuestos_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_industrias_manufactureras_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_pct_informacion_comunicaciones_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_per_capita_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_per_capita_pct_prom_nacional_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_suministro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_PIB_transporte_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Pct_UPA_acceso_asistencia_Efecto,No significativo,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Pct_UPA_acceso_credito_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Pct_UPA_acceso_infraestructura_Efecto,No significativo,Negativo - Indeterminado,Positivo - Medio,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_UPA_acceso_maquinaria_Efecto,No significativo,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_UPA_acceso_riego_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Economia_Pct_UPAs_entre_0_1_Ha_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_Pct_UPAs_entre_10_15_Ha_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Alto,Positivo - Alto,Negativo - Indeterminado
Economia_Pct_UPAs_entre_15_20_Ha_Efecto,No significativo,Negativo - Indeterminado,Positivo - Alto,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_UPAs_entre_1_3_Ha_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Pct_UPAs_entre_20_50_Ha_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_UPAs_entre_3_5_Ha_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Pct_UPAs_entre_50_100_Ha_Efecto,No significativo,Negativo - Indeterminado,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_UPAs_entre_5_10_Ha_Efecto,Positivo - Alto,Negativo - Indeterminado,Positivo - Muy Alto,Positivo - Medio,Negativo - Indeterminado
Economia_Pct_UPAs_mas_de_100_Ha_Efecto,No significativo,No significativo,No significativo,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Pct_valor_agregado_actividades_primarias_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Pct_valor_agregado_actividades_secundarias_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_Pct_valor_agregado_actividades_terciarias_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Alto,No significativo,Negativo - Indeterminado
Economia_Pct_valor_agregado_dept_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Primer_Cultivo_Transitorio_Efecto,Positivo - Muy Alto,No significativo,No significativo,No significativo,Negativo - Muy Alto
Economia_Primer_Cultivo_permanente_Efecto,Negativo - Muy Alto,Positivo - Indeterminado,Positivo - Medio,Positivo - Medio,Negativo - Muy Alto
Economia_Promedio_Idic_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Puntaje_Idic_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Acelga_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Achiote_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Achira_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Agraz_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Aguacate_Efecto,No significativo,No significativo,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Rendimiento_Aguaje_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Ahuyama_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Aji_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Ajo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Ajonjoli_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Albahaca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Alfalfa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Algarrobo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Algodon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Amaranto_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Anon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Anturio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Apio_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Arandano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Araza_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Arracacha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Arroz_Efecto,No significativo,No significativo,No significativo,Positivo - Indeterminado,No significativo
Economia_Rendimiento_Arveja_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,No significativo,Negativo - Muy Alto,Negativo - Indeterminado
Economia_Rendimiento_Asai_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Astromelia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Avena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Badea_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Bananito_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Banano_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Batata_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Berenjena_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Borojo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Brevo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Brocoli_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cacao_Efecto,No significativo,No significativo,Positivo - Muy Alto,Positivo - Muy Alto,Negativo - Indeterminado
Economia_Rendimiento_Caducifolios_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cafe_Efecto,Positivo - Muy Alto,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,Negativo - Indeterminado
Economia_Rendimiento_Caimo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Calabacin_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Calabaza_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cana_azucarera_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cana_flecha_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cana_miel_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cana_panelera_Efecto,No significativo,Negativo - Indeterminado,Positivo - Indeterminado,No significativo,Negativo - Indeterminado
Economia_Rendimiento_Cardamomo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Caucho_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cebada_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cebolla_bulbo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cebolla_rama_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cebollin_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Centeno_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Chamba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Champinon_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Chia_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Chirimoya_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cholupa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Chonque_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Chontaduro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cilantro_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cimarron_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Ciruela_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Citricos_Efecto,No significativo,Positivo - Indeterminado,No significativo,No significativo,Negativo - Indeterminado
Economia_Rendimiento_Clavel_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cocculus_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Coco_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Cocona_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Col_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Coliflor_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Copoazu_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Crisantemo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Curcuma_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Curuba_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Datil_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Durazno_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Esparrago_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Espinaca_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Estropajo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Eucalipto_baby_blue_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Feijoa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Fique_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Flor_de_jamaica_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Flores_follajes_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Frambuesa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Fresa_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Frijol_Efecto,Positivo - Indeterminado,Negativo - Indeterminado,Positivo - Muy Alto,No significativo,Negativo - Indeterminado
Economia_Rendimiento_Frutales_varios_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Garbanzo_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
Economia_Rendimiento_Girasol_Efecto,No significativo,No significativo,No significativo,No significativo,No significativo
